n,k,method,time,residual,relative_error
100,0,Gauss,0.00598279,3.53572e-11,0
100,0,GaussPivot,0.00512675,5.3982e-13,0
100,0,LU Total,0.00483937,1.15131e-11,0
100,0,LU Decomp,0.00391854,0,0
100,0,LU Solve,9.5208e-05,1.15131e-11,0
200,0,Gauss,0.0222968,3.21574e-11,0
200,0,GaussPivot,0.0166117,2.77097e-13,0
200,0,LU Total,0.0155808,5.09278e-11,0
200,0,LU Decomp,0.0134916,0,0
200,0,LU Solve,0.000164916,5.09278e-11,0
500,0,Gauss,0.203764,5.48053e-10,0
500,0,GaussPivot,0.200219,2.01961e-12,0
500,0,LU Total,0.209327,3.77424e-10,0
500,0,LU Decomp,0.199087,0,0
500,0,LU Solve,0.000993916,3.77424e-10,0
1000,0,Gauss,1.59982,9.68026e-10,0
1000,0,GaussPivot,1.60913,5.11048e-12,0
1000,0,LU Total,1.64008,1.16597e-09,0
1000,0,LU Decomp,1.62474,0,0
1000,0,LU Solve,0.00427433,1.16597e-09,0
